id,Finished.Recruitment,RecordedDate.Recruitment,Group,Finished.D2,RecordedDate.D2,AnxietyD2_OnEdge,AnxietyD2_Uneasy,AnxietyD2_Anxious,VigorD2_Vigorous,VigorD2_Cheerful,VigorD2_Lively,PANASD2_1_Attentive,PANASD2_2_Interested,PANASD2_3_Alert,PANASD2_4_Excited,PANASD2_5_Enthusiastic,PANASD2_6_Inspired,PANASD2_7_Proud,PANASD2_8_Determined,PANASD2_9_Strong,PANASD2_10_Active,PANASD2_11_Distressed,PANASD2_12_Upset,PANASD2_13_Hostile,PANASD2_14_Irritable,PANASD2_15_Scared,PANASD2_16_Afraid,PANASD2_17_Ashamed,PANASD2_18_Guilty,PANASD2_19_Nervous,PANASD2_20_Jittery,PA.Anchor.Before,NA.Anchor.Before,PA.Anchor.After,NA.Anchor.After,Anchor.Position,Exclude_SameAll.D2,Exclude_Missing.D2,Finished.D1,RecordedDate.D1,AnxietyD1_OnEdge,AnxietyD1_Uneasy,AnxietyD1_Anxious,VigorD1_Vigorous,VigorD1_Cheerful,VigorD1_Lively,PANASD1_1_Attentive,PANASD1_2_Interested,PANASD1_3_Alert,PANASD1_4_Excited,PANASD1_5_Enthusiastic,PANASD1_6_Inspired,PANASD1_7_Proud,PANASD1_8_Determined,PANASD1_9_Strong,PANASD1_10_Active,PANASD1_11_Distressed,PANASD1_12_Upset,PANASD1_13_Hostile,PANASD1_14_Irritable,PANASD1_15_Scared,PANASD1_16_Afraid,PANASD1_17_Ashamed,PANASD1_18_Guilty,PANASD1_19_Nervous,PANASD1_20_Jittery,Exclude_SameAll.D1,Exclude_Missing.D1,age,Current.Country.of.Residence,Gender.identity,Nationality,Sex
001fdbb170ade4f6b87f475a06aa5673,TRUE,19/07/2021 15:14,Later Start,1,21/07/2021 13:18,1,1,1,4,4,4,5,3,5,3,3,3,3,3,4,3,2,1,1,1,1,1,1,2,1,1,4,1,NA,NA,Anchor Before,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27,Italy,Male,Italy,Male
00228d39d83daaada20317488ac77af9,TRUE,19/07/2021 14:25,Later Start,1,21/07/2021 15:37,1,1,2,4,4,4,3,3,4,3,4,3,4,3,4,3,2,1,1,1,1,1,1,1,1,2,NA,NA,3,2,Anchor After,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32,United States,Male,United States,Male
003d4512edf9378736121e506a8590fe,TRUE,19/07/2021 14:30,Later Start,1,21/07/2021 13:03,3,2,3,3,3,3,3,2,4,3,2,3,2,2,3,3,2,4,2,3,3,4,2,2,2,3,2,3,NA,NA,Anchor Before,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21,Poland,Female,Poland,Female
0054619e9ee5693f80a784d05d87cf9c,TRUE,19/07/2021 15:35,Later Start,1,21/07/2021 16:41,2,2,2,3,4,3,3,4,2,3,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,3,3,Anchor After,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27,Greece,Male,Greece,Male
006337e9c4814d4c4442c12b164b678a,TRUE,19/07/2021 15:13,Earlier Start,1,21/07/2021 13:02,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,NA,NA,3,4,Anchor After,0,0,TRUE,20/07/2021 13:29,3,4,4,1,2,1,2,1,3,1,1,1,1,1,1,2,2,1,1,3,1,3,1,1,4,2,0,0,20,Poland,Male,Poland,Male
00743e0a6f6acea46bccac75865d2495,TRUE,19/07/2021 14:58,Earlier Start,1,21/07/2021 21:37,4,2,3,1,1,2,3,2,3,1,2,2,2,2,3,2,2,5,3,5,4,3,3,3,4,2,2,4,NA,NA,Anchor Before,0,0,TRUE,20/07/2021 15:25,2,3,2,2,3,3,3,4,4,4,3,3,5,3,2,2,3,5,4,3,4,4,2,5,2,3,0,0,22,Poland,Male,Poland,Male
00c6f5d4f4bfce9cbe3a54a694954997,TRUE,19/07/2021 15:15,Later Start,1,21/07/2021 14:19,4,3,4,3,2,2,3,3,2,2,3,2,1,2,2,3,4,2,1,3,1,1,1,3,4,3,NA,NA,2,2,Anchor After,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23,South Africa,Female,South Africa,Female
00d8341a54c704b0a9956fff34fdbe42,TRUE,19/07/2021 14:17,Earlier Start,1,21/07/2021 16:18,1,1,2,2,3,3,5,5,4,2,3,3,4,5,3,4,1,1,1,1,1,1,1,1,1,3,NA,NA,4,3,Anchor After,0,0,TRUE,20/07/2021 16:02,1,1,1,1,3,2,4,4,5,3,4,2,3,4,2,4,1,1,1,1,1,1,1,1,1,2,0,0,25,South Africa,Female,Uganda,Female
00e4df844ba91a811a8e4ef171c5bb8e,TRUE,19/07/2021 15:23,Earlier Start,1,21/07/2021 13:05,3,2,2,3,3,2,1,1,1,2,1,1,1,3,2,3,1,2,1,2,1,1,1,1,1,2,4,2,NA,NA,Anchor Before,0,0,TRUE,20/07/2021 17:10,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,3,2,2,3,2,0,0,21,Hungary,Male,Hungary,Male
00f4a4b500335bec530eb8215fad38d2,TRUE,19/07/2021 15:00,Later Start,1,21/07/2021 16:26,3,3,4,2,3,3,2,2,4,2,2,1,2,2,2,3,3,2,4,4,2,3,2,3,4,1,4,2,NA,NA,Anchor Before,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26,Portugal,Female,Brazil,Female
